ccm-print-parity	resume 动作被内层 ccm 收到（positional，非 flag——shared/ccm 内部约定）
ccm-print-parity	sid p1 出现在内层调用里
ccm-print-parity	tmux 名 cc-p1 出现在 new-session
ccm-print-parity	cwd /tmp 出现在 -c
ccm-print-parity	@ccm_sid_expect 打标用了 p1（F04：通道A写意图，非事实 @ccm_sid）
ccm-print-parity	--base 真的传进了内层调用（F05：账号维度恒显式表态）
ccm-print-parity	自定义 launcher CCMPROBE 传给了内层调用
ccm-print-parity	含空格 cwd 正确带引号
ccm-print-parity	会话名 cc-proj 正确出现
ccm-print-parity	attach 到 cc-p1
ccm-print-parity	--model flag 真的传进了内层调用
ccm-print-parity	opus 值真的传进了内层调用
ccm-rbind-title	从 shared/ccm 读到 format：#{?@ccm_sid,ccm-rbind-#{@ccm_sid},#T}
ccm-rbind-title	回退到 #T
ccm-rbind-title	没有产出空 marker
ccm-rbind-title	pane 标题=[⠐ 理解re-vendor的含义] 时窗口标题仍是 marker
ccm-rbind-title	pane 标题=[✳ Thinking…] 时窗口标题仍是 marker
ccm-rbind-title	pane 标题=[bash] 时窗口标题仍是 marker
ccm-rbind-title	pane 标题=[<空>] 时窗口标题仍是 marker
ccm-rbind-title	用 #T 时确实拿不到 marker（判据有牙）
ccm-cli.test	零修饰（--cwd .）：最终 exec 与今天 ccm() 逐字节一致
ccm-cli.test	resume <sid>
ccm-cli.test	--resume <sid> 与 resume <sid> **等价**（cc-monitor 今天的拼法，零改动即正确）
ccm-cli.test	--resume=<sid> 等号形式
ccm-cli.test	--agent codex：换启动器 + 无嵌套 env + cc-bus 身份配方
ccm-cli.test	--agent codex 不支持 resume → 报错
ccm-cli.test	--launcher 覆盖默认启动器
ccm-cli.test	--base：显式 unset CLAUDE_CONFIG_DIR（#75 逃生口）
ccm-cli.test	--model：export ANTHROPIC_MODEL（F08，闭合 R14）
ccm-cli.test	--model=<名> 等号形式
ccm-cli.test	-- 之后透传给 agent，含特殊字符正确 quote
ccm-cli.test	resume 走 daemon 配方时，-- 透传不许被整条换掉（I-11）
ccm-cli.test	resume 不带 -- 时配方里不许多出任何参数
ccm-cli.test	--account 与 --base 互斥
ccm-cli.test	未知 agent 报错
ccm-cli.test	未知选项报错
ccm-cli.test	attach 动作
ccm-cli.test	显式 --account 注入其 configDir
ccm-cli.test	账号不存在 → 中止（rc≠0，且不得吐出 exec）
ccm-cli.test	账号不存在 → rc=2
ccm-cli.test	不传 --account → 落 manifest 的 isDefault（复刻旧 _cc_acct_last 粘滞）
ccm-cli.test	--base → 显式不注入（#75 逃生口，压过默认号）
ccm-cli.test	无账号库 → 退化为基座（不报错）
ccm-cli.test	--account 与 --model 组合：账号目录先、模型偏好次（顺序即契约，见 launch-dimensions.ts order）
ccm-cli.test	resume 不做 auto 解析（cc-monitor 已 cd 到会话目录，再解析会跑到 git 仓父目录）
ccm-cli.test	resume 后跟 flag → 报错（别把 --tmux 当 sid）
ccm-cli.test	attach 后跟 flag → 报错
ccm-cli.test	外层已继承账号 b（无 --account/--base）→ 保留 b，不被默认号 z 静默覆盖
ccm-cli.test	裸终端（无继承）仍落 manifest 默认号 z
ccm-cli.test	--base 显式清空，不受继承影响
ccm-cli.test	--account 显式指定，优先级最高（覆盖继承的 b）
ccm-cli.test	R08：容器路径 + 继承账号 b → 内层载荷必须显式带上 b（不能靠继承穿 tmux 边界）
ccm-cli.test	R08：容器路径 + 继承账号 b → 内层绝不能落到默认号 z
ccm-cli.test	R08：容器路径 + --base → 内层显式 --base（不受继承影响，issue #75 逃生口不被削弱）
ccm-cli.test	R08：容器路径 + 显式 --account z → 内层带 --account z（优先级不变）
ccm-cli.test	R08：容器路径 + 裸终端（无继承）→ 内层仍落默认号 z（粘滞体验不回退）
ccm-cli.test	布局1：在 $HOME → 工作区
ccm-cli.test	布局2：git 仓根 → 仓的父目录
ccm-cli.test	布局3：git 仓子目录 → 仓的父目录
ccm-cli.test	布局4：非 git 目录 → 目录自己
ccm-cli.test	布局5：工作区自身（非 git）→ 自己
ccm-cli.test	deriveTmuxName 对拍: /home/pi/proj
ccm-cli.test	deriveTmuxName 对拍: /home/pi/a  b
ccm-cli.test	deriveTmuxName 对拍: /home/pi/proj///
ccm-cli.test	deriveTmuxName 对拍: /
ccm-cli.test	deriveTmuxName 对拍: /home/pi/.hidden.dir
ccm-cli.test	★ 在 tmux 里 + 找不到 daemon ⇒ **响亮失败**（rc=2，不是静默降级）
ccm-cli.test	★ 失败时**没有** exec launcher（会话不许在没有身份的情况下起来）
ccm-cli.test	失败信息里说得出是缺什么
ccm-cli.test	失败信息里说得出**这一格的后果**（认不出这个会话 ≠ 笼统一句「找不到」）
ccm-cli.test	失败信息里说得出**怎么办**（查找顺序 / 三选一）
ccm-cli.test	找得到后端 ⇒ 照常起（rc=0）
ccm-cli.test	找得到后端 ⇒ launcher 真被 exec 了
ccm-cli.test	★ 找得到后端 ⇒ stderr **一个字都没有**（别把正常路径变吵）
ccm-cli.test	CCM_NO_DAEMON=1 ⇒ 放行（rc=0）—— 明示放弃身份是一个安全的放弃态
ccm-cli.test	★ 明示放弃**照样说一句**（放弃 ≠ 闷声降级）
